date,Q1,Q2,Q3,Q4,Q5,基准(等权全池)
2015-01-26,1.1144031982497726,1.0777789409592815,1.0531986194900056,0.9713552459705939,0.9512029348272396,1.0325317426203693
2015-01-27,1.1248204395350228,1.0854043939658355,1.0531558544525443,0.9704641620143744,0.9499884709353302,1.0354617048415
2015-01-28,1.1167680847252401,1.076356388247878,1.0413738393221237,0.9597759579001964,0.9358685583623406,1.0245771497272445
2015-01-29,1.109685774432954,1.0739479751202445,1.0331619893664294,0.9495529368218683,0.9269373325258439,1.0170650198591897
2015-01-30,1.094418725298289,1.0676637288105517,1.018875281937345,0.9420465661141704,0.9101399913552872,1.004969235225085
2015-02-02,1.091995207319503,1.063801168005964,1.0097105123798353,0.9197228100238993,0.8828536602404632,0.9937387018820779
2015-02-03,1.11797227296031,1.081458047010687,1.0281591390074898,0.9329561728492534,0.9007422852262195,1.0122991705712427
2015-02-04,1.1136738692350494,1.0739103135908605,1.0197368427884443,0.9254987945322826,0.901522983248259,1.0070177640204574
2015-02-05,1.0994172427853526,1.0598268315188077,1.0049012414477507,0.9178837507512159,0.8963871372493656,0.9960625926358777
2015-02-06,1.0749365004995877,1.038317085754872,0.9867700416624169,0.9000188525790279,0.874456335499725,0.9752329878475847
2015-02-09,1.0902326898817865,1.0400849239187968,0.9862233015707387,0.8944844768093408,0.8692942806320786,0.9758957018110868
2015-02-10,1.1098383298518462,1.0540433443627921,0.9988277415929593,0.9079359520808761,0.8873606503191267,0.9915195905179724
2015-02-11,1.112589903030201,1.0575816366816808,1.0104781587482503,0.9204092125742044,0.8964991837527775,0.9997553228521231
2015-02-12,1.117219525267401,1.0664451967412387,1.0170755737990127,0.927199800250216,0.9029166267762941,1.0064693778505638
